"English","Portugues"
"Your payment was processed correctly","O seu pagamento foi bem sucedido."
"Error while saving the transaction","Erro ao salvar (guardar) a transação"
"Invalid Response","Resposta inválida"
"Payment process with ","Pagamento processado por "
"The payment was with a debit card, cancellation not allowed","O pagamento foi efetuado com cartão de débito, cancelamento não permitido"
"The payment was with a debit card, a refund was made","O pagamento foi efetuado com cartão de débito, foi feito um reembolso"
"Payment Denied","Pagamento rejeitado"
"Technical error in the cancellation","Erro técnico durante o cancelamento"
"Are you sure you want to refund this order?","Tem certeza de que deseja reembolsar este pedido?"
"Enable","Ativar gateway"
"User","Utilizador"
"Password","Senha"
"Secret Key","Chave secreta do comerciante"
"Merchant Account Resolver Category","Conta de comerciante 'resolver category'"
"Creditor ID", "ID de credor"
"Enable Test Payments","Ativar pagamentos de teste"
"Refund Failed", "Falha no reembolso"
"Refund of the order placed ", "Reembolso do pedido realizado "
"Refund Success.", "Sucesso de reembolso."
"Capture placed", "Captura colocada"
"Refund", "Reembolso"
"Capture", "Captura"
"Invalid Operation", "Operação inválida"
"Status Update","Atualização de Status"
"New transaction-type ->","Novo tipo de transação ->"
"transaction-type ->","tipo de transação ->"
"Do you want to check if there are new order statuses?","Deseja verificar se há novos status de pedidos?"
"Status updated","Status atualizado"
