"Spanish","English"
"Your payment was processed correctly","Su pago fue procesado correctamente"
"Error while saving the transaction","Error tecnico al guardar transaccion"
"Invalid Response","Respuesta Invalida"
"Payment process with ","Pago procesado por "
"The payment was with a debit card, cancellation not allowed","El pago fue con una tarjeta de debito, cancelacion no permitida"
"The payment was with a debit card, a refund was made","El pago fue con una tarjeta de debito, se inicia devolucion"
"Payment Denied","Pago rechazado"
"Technical error in the cancellation","Error tecnico en la cancelacion"
"Are you sure you want to refund this order?","¿Está seguro de que desea reembolsar este pedido?"
"Enable","Activado"
"User","Usuario"
"Password","Contraseña"
"Secret Key","LLave Secreta"
"Merchant Account Resolver Category","Cuenta del comerciante 'resolver category'"
"Creditor ID", "Id del acreedor"
"Enable Test Payments","Habilitar pagos simulados"
"Refund Failed", "Fallo Reembolso"
"Refund of the order placed ", "Reembolso del pedido realizado"
"Refund Success.", "Reembolso Exitoso"
"Capture placed", "Captura Realizada"
"Refund", "Reembolso"
"Capture", "Captura"
"Invalid Operation","Operación Invalida"
"Status Update","Actualización de Estatus"
"New transaction-type ->","Nuevo tipo de transacción ->"
"transaction-type ->","tipo de transacción ->"
"Do you want to check if there are new order statuses?","¿Quieres comprobar si hay nuevos estados de pedidos?"
"Status updated","Estatus actualizado"
